runId,scenario,variant,repeat,winner,episodes,ticks,attacks,alphaFinalHealth,bravoFinalHealth,firstAttackTick,averageDistance,minDistance,maxDistance,averageMctsVisits,uniqueActions
standard-mcts-r1,Standard MCTS run 1 vs balanced opponent,Standard MCTS,1,Alpha,115,58,9,3,0,14,1.617,0.004,8.408,13.87,6
standard-mcts-r2,Standard MCTS run 2 vs defensive opponent,Standard MCTS,2,Bravo,116,58,10,0,1,14,1.594,0.007,8.414,12.224,6
standard-mcts-r3,Standard MCTS run 3 vs aggressive opponent,Standard MCTS,3,Alpha,115,58,9,5,0,14,1.59,0.004,8.393,14.887,6
standard-mcts-r4,Standard MCTS run 4 vs strong opponent,Standard MCTS,4,Alpha,113,57,9,1,0,13,1.496,0.001,7.876,17.115,6
standard-mcts-r5,Standard MCTS run 5 vs balanced opponent,Standard MCTS,5,Alpha,113,57,9,4,0,13,1.456,0.004,7.737,13.168,6
standard-mcts-r6,Standard MCTS run 6 vs defensive opponent,Standard MCTS,6,Bravo,112,56,9,0,5,12,1.387,0.007,7.621,12.857,5
standard-mcts-r7,Standard MCTS run 7 vs aggressive opponent,Standard MCTS,7,Alpha,115,58,9,5,0,14,1.569,0.003,8.357,14.991,6
standard-mcts-r8,Standard MCTS run 8 vs strong opponent,Standard MCTS,8,Bravo,96,48,8,0,4,15,2.059,0.002,8.883,15.323,5
hybrid-heuristic-r1,Hybrid MCTS + heuristic evaluation run 1 vs balanced opponent,Hybrid MCTS + heuristic evaluation,1,Bravo,116,58,9,0,4,14,1.629,0.009,8.543,13.698,6
hybrid-heuristic-r2,Hybrid MCTS + heuristic evaluation run 2 vs defensive opponent,Hybrid MCTS + heuristic evaluation,2,Bravo,116,58,9,0,5,14,1.628,0.008,8.603,14.095,7
hybrid-heuristic-r3,Hybrid MCTS + heuristic evaluation run 3 vs aggressive opponent,Hybrid MCTS + heuristic evaluation,3,Bravo,114,57,9,0,4,13,1.518,0.007,8.242,17.667,5
hybrid-heuristic-r4,Hybrid MCTS + heuristic evaluation run 4 vs strong opponent,Hybrid MCTS + heuristic evaluation,4,Bravo,92,46,7,0,8,13,1.841,0.006,8.112,17.935,6
hybrid-heuristic-r5,Hybrid MCTS + heuristic evaluation run 5 vs balanced opponent,Hybrid MCTS + heuristic evaluation,5,Alpha,115,58,9,3,0,14,1.625,0.002,8.397,14.67,6
hybrid-heuristic-r6,Hybrid MCTS + heuristic evaluation run 6 vs defensive opponent,Hybrid MCTS + heuristic evaluation,6,Bravo,112,56,9,0,5,12,1.359,0.005,7.468,14.098,7
hybrid-heuristic-r7,Hybrid MCTS + heuristic evaluation run 7 vs aggressive opponent,Hybrid MCTS + heuristic evaluation,7,Alpha,113,57,9,5,0,13,1.432,0.008,7.777,15.442,6
hybrid-heuristic-r8,Hybrid MCTS + heuristic evaluation run 8 vs strong opponent,Hybrid MCTS + heuristic evaluation,8,Bravo,116,58,9,0,4,14,1.609,0.005,8.406,18.259,6
risk-aware-r1,Risk-aware MCTS run 1 vs balanced opponent,Risk-aware MCTS,1,Bravo,112,56,9,0,4,12,1.373,0.002,7.66,12.429,6
risk-aware-r2,Risk-aware MCTS run 2 vs defensive opponent,Risk-aware MCTS,2,Bravo,112,56,10,0,1,12,1.333,0.018,7.355,12.875,6
risk-aware-r3,Risk-aware MCTS run 3 vs aggressive opponent,Risk-aware MCTS,3,Alpha,115,58,9,4,0,14,1.577,0.001,8.38,15.487,5
risk-aware-r4,Risk-aware MCTS run 4 vs strong opponent,Risk-aware MCTS,4,Bravo,92,46,8,0,4,13,1.845,0.016,8.158,17.783,6
risk-aware-r5,Risk-aware MCTS run 5 vs balanced opponent,Risk-aware MCTS,5,Alpha,119,60,9,3,0,16,1.905,0.002,9.477,12.908,6
risk-aware-r6,Risk-aware MCTS run 6 vs defensive opponent,Risk-aware MCTS,6,Bravo,110,55,10,0,1,11,1.22,0.003,6.916,10.755,6
risk-aware-r7,Risk-aware MCTS run 7 vs aggressive opponent,Risk-aware MCTS,7,Alpha,115,58,9,4,0,14,1.581,0.002,8.388,15.661,5
risk-aware-r8,Risk-aware MCTS run 8 vs strong opponent,Risk-aware MCTS,8,Bravo,96,48,8,0,4,15,2.084,0.008,8.838,15,6
exploratory-r1,High-exploration MCTS run 1 vs balanced opponent,High-exploration MCTS,1,Alpha,113,57,9,3,0,13,1.515,0.005,8.063,12.071,6
exploratory-r2,High-exploration MCTS run 2 vs defensive opponent,High-exploration MCTS,2,Bravo,112,56,9,0,5,12,1.408,0.003,7.739,12.598,6
exploratory-r3,High-exploration MCTS run 3 vs aggressive opponent,High-exploration MCTS,3,Alpha,115,58,9,5,0,14,1.665,0.002,8.679,14.452,6
exploratory-r4,High-exploration MCTS run 4 vs strong opponent,High-exploration MCTS,4,Bravo,90,45,8,0,4,12,1.665,0.002,7.468,15.544,6
exploratory-r5,High-exploration MCTS run 5 vs balanced opponent,High-exploration MCTS,5,Alpha,115,58,9,5,0,14,1.632,0.004,8.41,13.774,6
exploratory-r6,High-exploration MCTS run 6 vs defensive opponent,High-exploration MCTS,6,Bravo,112,56,9,0,5,12,1.403,0.001,7.632,13.304,6
exploratory-r7,High-exploration MCTS run 7 vs aggressive opponent,High-exploration MCTS,7,Alpha,115,58,9,4,0,14,1.587,0.007,8.36,14.739,6
exploratory-r8,High-exploration MCTS run 8 vs strong opponent,High-exploration MCTS,8,Alpha,113,57,9,1,0,13,1.49,0.01,7.923,15.708,6
high-budget-r1,Higher-budget MCTS run 1 vs balanced opponent,Higher-budget MCTS,1,Alpha,107,54,9,3,0,10,1.102,0.007,6.419,18.009,5
high-budget-r2,Higher-budget MCTS run 2 vs defensive opponent,Higher-budget MCTS,2,Bravo,112,56,10,0,1,12,1.327,0.004,7.389,17.509,6
high-budget-r3,Higher-budget MCTS run 3 vs aggressive opponent,Higher-budget MCTS,3,Bravo,110,55,9,0,4,11,1.239,0,7.057,18.4,5
high-budget-r4,Higher-budget MCTS run 4 vs strong opponent,Higher-budget MCTS,4,Alpha,113,57,9,1,0,13,1.479,0.003,7.959,22.487,5
high-budget-r5,Higher-budget MCTS run 5 vs balanced opponent,Higher-budget MCTS,5,Alpha,113,57,10,1,0,12,1.403,0,7.734,20.274,6
high-budget-r6,Higher-budget MCTS run 6 vs defensive opponent,Higher-budget MCTS,6,Bravo,118,59,10,0,1,15,1.746,0.001,9.08,18.28,5
high-budget-r7,Higher-budget MCTS run 7 vs aggressive opponent,Higher-budget MCTS,7,Alpha,115,58,9,5,0,14,1.59,0.001,8.551,21.878,5
high-budget-r8,Higher-budget MCTS run 8 vs strong opponent,Higher-budget MCTS,8,Bravo,88,44,8,0,4,11,1.483,0.002,6.914,23.67,5
wide-arena-example,Wide arena example,Environment stress test,1,Alpha,107,54,8,8,0,20,3.1,0.003,12.14,34.523,5
low-health-example,Low-health example,Environment stress test,2,Bravo,70,35,6,0,10,13,2.359,0.002,8.114,23.914,5
